Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
69,Georges BASTARD,française,"1881, Andeville (Oise, France) - 1939, (Espagne)",Eventail Les Paons,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1913","18,5 x 34,5 cm","Ruban de soie, nacre sculptée et rivet en métal",1913,1913,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
70,Georges BASTARD,française,"1881, Andeville (Oise, France) - 1939, (Espagne)",Coupe,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1916","3,9 x 10,9 x 10,1 cm","Corne et nacre sculptées, pigments",1913,1916,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
71,Léon Albert JALLOT,française,"1874, Nantes (Loire-Atlantique, France) - 1967, Paris (France)",Vitrine,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1926",176 x 56 x 47 cm,"Merisier, loupe de poirier de Perse, cuivre",1913,1926,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
72,Léon Albert JALLOT,française,"1874, Nantes (Loire-Atlantique, France) - 1967, Paris (France)",Vitrine,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1926",176 x 56 x 47 cm,"Merisier, loupe de poirier de Perse, cuivre",1913,1926,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
73,Maurice MARINOT,française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Verre,Design d'Objet,3,1912 - 1913,"Achat de l'Etat, 1913
Attribution, 1913","hauteur: 16 cm
diamètre: 9,4 cm","Verre soufflé, verre émaillé",1913,1913,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
74,Emile DECOEUR,française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Bol,Design d'Objet,3,1913,Legs de M. Atherton Curtis en 1957,"hauteur: 6 cm
diamètre: 14 cm",Grès,1913,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
75,Emile DECOEUR,française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase oblong évasé,Design d'Objet,3,1913,Legs de M. Atherton Curtis en 1957,hauteur: 32 cm,Grès émaillé,1913,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
76,"Mikhail F. LARIONOV, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit)",russe,,"Poloujivoï
(À moitié en vie)",Design Graphique/ Illustration,2,1913,"Legs de Nina Kandinsky, 1981","18,5 x 15,3 x 0,3 cm",Lithographies sur papier,1913,1981,Legs,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
77,Georges BASTARD,française,"1881, Andeville (Oise, France) - 1939, Espagne",Boîte Les Perruches,Design d'Objet,3,1914,"Achat de l'Etat, 1914
Attribution, 1916","hauteur: 5,7 cm
diamètre: 8,3 cm",Ivoire tourné et nacre sculptée,1914,1916,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
78,Jean DUNAND,française (suisse à la naissance),"1877, Lancy (Suisse) - 1942, Paris (Ile-de-France, France)",Plat,Design d'Objet,3,1914,"Achat de l'Etat, 1914
Attribution, 1938","hauteur: 1,8 cm
diamètre: 46,2 cm","Nickel oxydé, argenté et repoussé",1914,1938,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
79,Emile DECOEUR,française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase bouteille,Design d'Objet,3,1914,Legs de M. Atherton Curtis en 1957,hauteur: 46 cm,Grès émaillé,1914,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
80,ANONYME,unkown,,Ventilateur de table,Design Industriel,4,vers 1914,Inscription à l'inventaire en 2000,"hauteur: 50 cm
profondeur: 25 cm
diamètre: 45 cm",Fonte et métal,1914,2000,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
81,ANONYME,unkown,,Téléphone,Design Industriel,4,vers 1914,Inscription à l'inventaire en 2000,29 x 16 x 14 cm,Métal et bakélite,1914,2000,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
82,Abel LAFLEUR,française,"1875, Rodez (Aveyron, France) - 1953, Boulogne-Billancourt (Hauts-de-Seine, France)",Plaque Femme nue lisant,Design Graphique/ Illustration,2,1911 - 1915,"Achat de l'Etat, 1919
Attribution, 1919","6,8 x 6,7 x 0,4 cm",Ivoire sculpté,1915,1919,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
83,André METTHEY,française,"1871, Laignes (Côte-d'Or, France) - 1920, Asnières (Eure, France)",Vase,Design d'Objet,3,vers 1915,Legs en 1957,"hauteur: 25 cm
diamètre: 15 cm",Grès,1915,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
84,ANONYME,unkown,,Manuscrit Vicissitudes de la Belgique à travers l'histoire,Design Graphique/ Illustration,2,[1915 - 1916],Legs de Mme Raoul Dufy en 1963,"22 x 17,2 cm",Texte manuscrit sur papier,1916,1963,Legs,Unknown,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
85,CALOR,française,,"Fer à repasser n° 1 ""Ménage""",Design Industriel,4,1917,Don de Calor en 1992,13 x 17 x 8 cm,"Fonte d'acier nickelée, fonte d'aluminium, acajou verni, laiton, carton d'amiante",1917,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
86,Raoul DUFY,française,"1877, Le Havre (Normandie, France) - 1953, Forcalquier (Provence-Alpes-Côte d'Azur, France)",Livre M. Croquant,Design Graphique/ Illustration,2,1918,Legs de Mme Raoul Dufy en 1963,,,1918,1963,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
